Landfill_ID,Water_Body_Name,Distance_km
1833.0,"USGS 01094450 NORTH NASHUA RIVER AT NORTH LEOMINSTER, MA",9951.834125046107
1833.0,"USGS 01094455 NORTH NASHUA RIVER AT LEOMINSTER, MA",9953.116491499768
1833.0,"USGS 01094950 STILLWATER RIVER AT WEST STERLING, MA",9963.986263641975
1833.0,"USGS 01095920 NASHUA RIVER NEAR AYER, MA",9943.17044254067
1833.0,"USGS 01096603 ASSABET RIVER NEAR WESTBOROUGH, MA",9973.833055515428
1833.0,"USGS 01096870 ASSABET RIVER AT COX ST NEAR HUDSON, MA",9958.478323974323
1833.0,"USGS 01097000 ASSABET RIVER AT MAYNARD, MA",9951.690196964724
1833.0,"USGS 01097050 ASSABET RIVER AT MAIN ST NEAR CONCORD, MA",9947.032934813746
1833.0,"USGS 01097390 ASSABET RIVER AT RT 2 NEAR CONCORD, MA",9946.18944187258
1833.0,"USGS 01098704 WARD BROOK NEAR MARLBOROUGH, MA",9961.28903351363
1833.0,"USGS 01098705 SEWAGE BROOK NEAR MARLBOROUGH, MA",9961.253044947136
1833.0,"USGS 01099000 CONCORD RIVER AT LOWELL, MA",9926.646848258037
1833.0,"USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",9924.873576425372
1833.0,"USGS 01100500 MERRIMACK RIVER AT LAWRENCE, MA",9913.574973156781
1833.0,"USGS 01103280 CHARLES RIVER AT MEDWAY, MA",9978.311063231224
1833.0,"USGS 01103305 CHARLES RIVER NEAR MILLIS, MA",9977.942616361506
1833.0,"USGS 01107100 TOWN RIVER AT BRIDGEWATER, MA",9976.584489360408
1833.0,"USGS 01109650 BLACKSTONE RIVER RT 146 AT WORCESTER, MA",9984.513400762096
1833.0,"USGS 01109660 BLACKSTONE RIVER NEAR MILLBURY, MA",9986.289068488468
1833.0,"USGS 01170006 DEERFIELD R, STILLWATER BR, AT WEST DEERFIELD, MA",9986.015699670415
1833.0,"USGS 01170150 GREEN RIVER NEAR GREENFIELD, MA",9973.595453202863
1833.0,"USGS 01177000 CHICOPEE RIVER AT INDIAN ORCHARD, MA",10018.114768796595
1833.0,"USGS 01181008 WESTFIELD RIVER AT HUNTINGTON, MA",10024.685201290942
1833.0,"USGS 01185500 WEST BRANCH FARMINGTON RIVER NEAR NEW BOSTON, MA",10046.65386658125
1833.0,"USGS 01197134 HOUSATONIC RIVER AT NEW LENOX, MA",10021.264918219118
1833.0,"USGS 01197500 HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA",10041.548599171754
1833.0,"USGS 01332500 HOOSIC RIVER NEAR WILLIAMSTOWN, MA",9987.734770430654
1833.0,"USGS 01096720 ASSABET RIVER AT BOUNDARY ST. NR NORTHBOROUGH, MA",9966.870300446264
1833.0,"USGS 01095505 NASHUA RIVER 0.4 MI UPSTREAM RT 110 AT CLINTON, MA",9960.56785693224
1833.0,"USGS 423033071185001 CONCORD R RT225 CARLISLE-BEDFORD, MA",9938.938333710888
1833.0,USGS 423506071171401 CONCORD R POLLAND ST,9930.445218591141
1833.0,USGS 421700071381901 ASSABET RIVER DS FROM WESTBOROUGH WTP AT ROUTE 9,9973.448114685016
1833.0,"USGS 01096725 ASSABET RIVER, DS MARLBOROUGH WWTP",9966.413160736573
1833.0,"USGS 01183610 WESTFIELD RIVER AT BRIDGE ST AT NORTH AGAWAM, MA",10028.670554118193
1833.0,"USGS 01173515 WARE RIVER NEAR PALMER, MA.",10006.52313977592
1833.0,"USGS 01100475 MERRIMACK R AT ABE BASHARA BOAT HOUSE LAWRENCE, MA",9915.6334871649
1833.0,"USGS 01106444 SALISBURY PLAIN R NR MATFIELD ST E BRIDGEWATER, MA",9972.942072424697
1833.0,"USGS 01106438 SALISBURY PLAIN R AT SARGENT'S WAY, BROCKTON, MA",9972.396466616583
1833.0,"USGS 01095506 NASHUA RIVER AT ROUTE 110, CLINTON, MA",9960.210381272695
1833.0,"USGS 01168305 COLD RIVER NEAR CHARLEMONT, MA",9986.020268354352
1833.0,"USGS 01094445 NORTH NASHUA R NR LANIDES LN, E. FITCHBURG, MA",9951.278587946445
1833.0,"USGS 01331393 HOOSIC RIVER NEAR GROVE STREET, ADAMS, MA",9996.926751381914
1833.0,"USGS 01096876 ASSEBET RIVER AT ROUTE 62, HUDSON, MA",9957.250135940967
1833.0,"USGS 01094465 NORTH NASHUA RIVER AT MECHANIC ST, LEOMINSTER, MA",9953.364478431753
1833.0,"USGS 01109048 THREEMILE RIVER AT NORTON AVE, TAUNTON, MA",9989.767374610274
1833.0,"USGS 01109043 THREEMILE RIVER AT CRANE ST, TAUNTON, MA",9988.67309094432
1833.0,"USGS 01107799 NEMASKET RIVER AT PLYMOUTH ST, MIDDLEBOROUGH, MA",9982.085381951822
1833.0,"USGS 01107798 NEMASKET R AT OLIVER MILL PARK, MIDDLEBOROUGH, MA",9983.178454088602
1833.0,"USGS 01103139 CHARLES RIVER AT MELLEN STREET, MILFORD, MA",9984.758886391934
1833.0,"USGS 01103138 CHARLES RIVER AT MILFORD SEWER PLANT, MILFORD, MA",9984.678643659914
1833.0,"USGS 01166630 MILLERS RIVER AT BRIDGE STREET, MILLERS FALLS, MA",9975.721326941484
